Size, Proteins
2,100344,98851
2,100963,98784
2,101167,98742
2,332924,98544
2,100582,98486
2,99225,98401
2,99446,98365
2,101583,98319
2,101603,98301
2,100149,98047
2,99327,97995
2,100616,97894
2,99568,97859
2,126224,97828
2,101093,97811
2,99417,97769
2,101471,97309
2,131587,97267
2,98987,97224
2,101148,97165
2,98801,97109
2,115242,96918
2,114963,96893
2,111228,96833
2,99586,96816
2,125756,96651
2,102352,96300
2,99557,96172
2,101870,96132
2,131254,95945
2,100413,95820
2,228349,95742
2,98173,95687
2,98014,95642
2,99910,95562
2,100112,95464
2,100376,95445
2,98934,95423
2,95735,95245
2,117173,95096
2,107920,94796
2,127822,94559
2,336216,94483
2,99166,94428
2,100105,94353
2,100792,94245
2,99239,93712
2,99425,93560
2,96502,93553
2,131882,93512
2,106243,93404
2,164873,93330
2,116235,93321
2,97101,93189
2,93223,93164
2,96567,93003
2,101227,92875
2,99720,92826
2,103245,92785
2,104766,92719
2,96935,92483
2,98696,92420
2,135038,92322
2,100077,92259
2,93060,92248
2,381339,91940
2,97144,91906
2,96022,91879
2,361224,91867
2,113462,91643
2,98960,91577
2,259949,91557
2,92112,91383
2,92847,91341
2,171265,91304
2,114944,91154
2,94122,91063
2,112885,91022
2,171643,91020
2,94362,90858
2,94845,90857
2,92380,90800
2,90904,90317
2,95322,90199
2,121798,90185
2,114064,89751
2,118362,89613
2,95542,89366
2,91730,89173
2,283987,89012
2,88950,88636
2,92398,88369
2,99052,88237
2,88852,88166
2,380239,88150
2,100154,88149
2,88373,88036
2,100699,87889
2,88020,87811
2,228544,87544
2,88416,87247
2,88408,87243
2,88512,86532
2,87534,86465
2,90267,86438
2,86374,86368
2,90034,85965
2,86683,85959
2,87423,85907
2,88378,85776
2,85740,85739
2,88682,85422
2,97232,85162
2,86344,85063
2,87958,85049
2,85369,84982
2,380258,84887
2,227781,84734
2,90947,84709
2,86381,84601
2,87037,84589
2,88144,84494
2,94532,84397
2,94622,84334
2,169216,84324
2,92817,84204
2,202572,84157
2,84526,84017
2,97632,83989
2,98894,83961
2,171307,83910
2,86697,83877
2,96328,83862
2,97830,83837
2,96817,83787
2,113320,83744
2,122006,83683
2,88234,83661
2,83393,83273
2,86143,83260
2,83191,83105
2,113577,82956
2,82939,82855
2,336212,82853
2,85469,82801
2,86851,82761
2,94110,82686
2,84616,82679
2,86702,82623
2,87177,82621
2,127790,82526
2,82684,82512
2,100046,82504
2,86657,82460
2,135729,82332
2,84915,82126
2,100004,81997
2,83129,81949
2,96763,81917
2,84353,81906
2,82921,81790
2,101767,81783
2,85085,81648
2,84620,81555
2,106780,81516
2,83220,81439
2,90158,81432
2,81510,81403
2,127610,81308
2,86222,81135
2,113737,80985
2,359721,80892
2,84710,80767
2,84048,80763
2,84308,80682
2,332769,80366
2,86590,80302
2,84515,80262
2,88010,80156
2,359665,79975
2,81740,79918
2,79794,79793
2,93522,79770
2,88785,79751
2,85715,79732
2,83946,79547
2,102147,79450
2,103477,79351
2,84201,79329
2,151854,79319
2,201274,79111
2,98109,78862
2,86801,78812
2,80511,78775
2,83462,78656
2,119864,78463
2,78712,78396
2,88019,78298
2,78394,78257
2,86682,78106
2,85820,78036
2,78485,77964
2,83909,77929
2,83133,77868
2,78027,77846
2,77848,77711
2,82039,77643
2,252291,77628
2,373314,77615
2,108215,77574
2,81855,77513
2,133882,77450
2,78376,77408
2,117010,77370
2,99616,77310
2,81023,76998
2,77808,76812
2,77707,76745
2,78142,76732
2,77844,76616
2,77493,76590
2,85140,76543
2,78210,76474
2,126223,76448
2,82281,76337
2,83636,76312
2,77991,76283
2,77693,76278
2,76855,76188
2,78000,76177
2,78344,75973
2,97939,75928
2,119233,75921
2,78240,75896
2,82362,75687
2,101838,75157
2,181359,75056
2,77490,74675
2,74598,74542
2,84852,74520
2,88265,74462
2,76144,74434
2,77262,74401
2,77602,74387
2,77283,74338
2,80193,74104
2,74962,73967
2,86107,73955
2,77245,73919
2,129554,73898
2,99762,73884
2,75400,73851
2,76824,73837
2,77660,73801
2,84248,73674
2,98393,73395
2,284066,73199
2,73359,72989
2,74460,72971
2,74512,72925
2,76722,72897
2,78293,72695
2,151072,72686
2,105311,72679
2,88715,72496
2,75768,72462
2,75405,72218
2,123342,71827
2,84278,71747
2,71499,71498
2,75299,71397
2,380931,71272
2,78031,71268
2,71276,71075
2,71070,70967
2,78481,70954
2,71082,70943
2,77820,70919
2,70863,70862
2,78680,70677
2,76833,70672
2,75339,70656
2,71153,70639
2,70758,70551
2,71307,70528
2,70740,70399
2,71554,70363
2,97831,70358
2,74020,70180
2,76005,69951
2,71048,69912
2,71100,69772
2,75543,69589
2,70019,69542
2,71019,69539
2,71121,69477
2,77455,69436
2,171157,69268
2,71391,69243
2,171130,69134
2,68801,68800
2,70683,68775
2,368481,68732
2,70152,68624
2,75803,68595
2,83340,68529
2,70733,68494
2,68762,68480
2,76006,68418
2,92013,68411
2,69515,68359
2,79818,68262
2,76172,68181
2,99261,68177
2,101434,67991
2,94613,67907
2,73698,67832
2,71227,67794
2,89911,67587
2,101473,67570
2,69103,67551
2,70671,67544
2,67880,67521
2,67914,67507
2,232115,67416
2,75764,67410
2,116970,67391
2,98944,67344
2,76588,67132
2,80895,66991
2,74998,66912
2,71358,66911
2,121050,66751
2,66747,66746
2,66432,66402
2,102575,66245
2,70688,66232
2,70934,66089
2,110704,66011
2,224172,65973
2,84449,65972
2,68343,65933
2,66280,65766
2,76949,65714
2,83487,65684
2,66009,65573
2,171310,65552
2,69338,65221
2,66118,65098
2,65519,65035
2,70708,64985
2,72396,64979
2,91435,64867
2,72429,64714
2,71263,64648
2,100440,64543
2,81635,64542
2,85597,64437
2,227564,64352
2,66176,64347
2,65282,64329
2,66041,64161
2,65092,64145
2,151776,63851
2,65296,63814
2,68983,63724
2,73320,63568
2,77594,63525
2,64077,63451
2,70460,63399
2,75100,63314
2,82006,63267
2,186856,62952
2,69960,62836
2,64405,62702
2,65585,62692
2,204357,62609
2,63999,62574
2,64436,62439
2,101080,62295
2,62564,62279
2,86322,62262
2,67399,62261
2,74201,62197
2,62266,62080
2,73289,62076
2,62187,62008
2,76956,61756
2,61902,61744
2,83441,61739
2,70546,61630
2,61620,61619
2,61681,61536
2,61517,61370
2,63425,61177
2,189353,61093
2,63629,60978
2,77495,60818
2,64508,60753
2,143938,60734
2,74197,60674
2,62041,60664
2,65369,60403
2,61302,60363
2,100808,60350
2,108819,60256
2,69066,60177
2,63532,60099
2,227677,60005
2,61806,59905
2,61401,59901
2,396106,59568
2,119190,59519
2,65520,59445
2,130084,59425
2,179185,59358
2,67141,59032
2,115924,59022
2,62064,58940
2,58909,58788
2,58816,58737
2,86477,58665
2,58828,58646
2,85537,58537
2,61537,58364
2,58917,58334
2,58805,58257
2,58901,58093
2,397522,58044
2,60467,57974
2,90448,57839
2,58150,57619
2,67543,57614
2,57717,57527
2,221011,57448
2,59598,57233
2,87069,57191
2,64004,57136
2,77427,56677
2,58836,56673
2,70941,56408
2,71429,56395
2,56273,56161
2,58855,56130
2,62053,56013
2,56098,55929
2,55875,55874
2,61557,55823
2,58068,55788
2,358943,55615
2,70426,55347
2,55637,55320
2,245048,55267
2,56749,55177
2,55139,55138
2,60891,55130
2,130752,55051
2,101640,54993
2,55943,54951
2,55755,54763
2,82594,54730
2,69339,54708
2,111623,54678
2,91647,54646
2,103935,54570
2,70549,54539
2,59777,54525
2,148793,54431
2,58605,54324
2,54693,54226
2,62243,54104
2,71502,54026
2,54099,54009
2,53861,53773
2,81010,53771
2,54383,53681
2,54063,53654
2,56271,53552
2,59611,53443
2,56169,53414
2,53337,53296
2,71645,53279
2,164924,53275
2,53555,53261
2,57819,53180
2,53858,52893
2,134748,52825
2,373334,52531
2,74912,52416
2,54065,52051
2,52085,52019
2,53744,52008
2,52745,51953
2,156253,51723
